"INTERNATIONAL LABOUR ORGANIZATION Geneva"
"LABORSTA Labour Statistics Database"
"Copyright International Labour Organization 1998-2014"
""
"Selection:","Years: 1999-2008"
"","Country(ies): AT BR CH CN DE EG FR GB HK IT JP LU NL PT RU SA SG US VG VI"
"","Group of topics: Main statistics (annual) "
"","Table: 2B Total employment, by economic activity (Thousands)"
"","Extracted on 12/05/2014"


COUNTRY,CODE COUNTRY,SOURCE,CODE SOURCE,SOURCE_ID,SUBJECT,CODE SUBJECT,TYPE OF DATA,CODE TYPE OF DATA,WORKER COVERAGE,CODE WORKER COVERAGE,SEX,CODE SEX,TABLE,CODE TABLE,CLASSIFICATION,CODE CLASSIFICATION,SUB-CLASSIFICATION,CODE SUB-CLASSIFICATION,D1999,D2000,D2001,D2002,D2003,D2004,D2005,D2006,D2007,D2008,NOTES,
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","E Electricity, Gas and Water Supply","05_",27.4,25.3,26.9,30.6,30.5,23.8,25.5,25.6,24.2,20.8574,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",310.2,313.5,308.8,309.1,311.8,268.9,277,287.1,288.8,286.55001,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",269.5,270.7,269.5,265,257.9,276.4,267.7,273.3,305.1,309.1911,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","H Hotels and Restaurants","08_",76.4,76.2,74.9,80.2,75.8,83.4,90.8,85.8,92.5,89.48,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","I Transport, Storage and Communications","09_",197.1,185.2,193.8,190.2,179.5,181,179.3,182.4,176.5,185.17499,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","J Financial Intermediation","10_",71.8,71.4,66.3,65.3,63.8,68.1,71.1,67.5,68.9,71.25,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","K Real Estate, Renting and Business Activities","11_",114.2,132.1,144.5,147.1,156.6,162.7,167.4,178.9,187,211.6787,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","L Public Administration and Defence; Compulsory Social Security","12_",157.4,160.3,163.9,155.4,146.6,146.6,136.8,144.4,155.3,156.13673,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","M Education","13_",71.1,70.8,70.9,67.4,64.3,64.5,67.7,66.8,60.4,67.8,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","N Health and Social Work","14_",74.6,75,74.7,76,75,76.1,88.4,80.2,81.6,82.805,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","O Other Community,Social and Personal Service Activities","15_",72.6,69.5,69.6,71,73.9,84.7,77.1,80.6,89.8,90.23,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","P Households with Employed Persons","16_",0.4,0.2,0.8,0.2,0.4,1,0.4,0.4,0.5,0.507,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Q Extra¬Territorial Organizations and Bodies","17_",2.7,2.3,1.7,1.6,1.9,4.5,4.2,3.4,3.5,2.502,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",1622.7,1631,1657.1,1696.7,1696.6,1682.5,1728.1,1780.7,1819.4,1867.89,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A Agriculture, Hunting and Forestry","01_",110.5,99.6,101.4,100.8,98.3,88.5,96.1,100.5,107.2,104.09,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","B Fishing","02_",0.1,0.2,0.1,0.3,0.1,,0,0,0.3,0.271,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C Mining and Quarrying","03_",1.3,0.9,0.9,0.8,0.8,1,1.2,1.4,1.3,2.287,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","D Manufacturing","04_",198.9,197.6,192.4,188.8,188.3,182.3,179.8,195,187.4,179.052,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","E Electricity, Gas and Water Supply","05_",3.8,4.7,4.6,4.7,4.4,4.3,5.8,5.7,6,4.723,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",26.2,25.8,30.7,28.9,26.8,35.1,36.6,36.6,40.2,45.475,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",323.3,323,333.2,336.2,336.7,316.4,325.9,337.5,340.5,354.648,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","H Hotels and Restaurants","08_",135.8,137.8,132.9,137.6,141.9,143.6,153.4,156.8,166.2,161.603,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","I Transport, Storage and Communications","09_",57.2,60.5,61,61.6,58.7,57.3,62,59.4,66.7,59.681,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","J Financial Intermediation","10_",70,67.1,66.1,67.5,68,72.1,72.4,65.6,66.1,71.225,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","K Real Estate, Renting and Business Activities","11_",126.3,137.2,148.7,156.3,151.5,164.5,166.7,171.8,176.3,186.713,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","L Public Administration and Defence; Compulsory Social Security","12_",90.3,92.7,94.4,93,90.6,107.5,101.9,108.6,120.1,122.186,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","M Education","13_",149.2,154.8,153.6,162.7,166.4,145.7,154.3,155.4,151.3,161.691,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","N Health and Social Work","14_",226.7,224.9,235.9,251.3,252.8,249.7,261.3,267.6,265.7,282.049,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","O Other Community,Social and Personal Service Activities","15_",89,89.9,86.4,91.2,95.5,102.6,98.4,106.3,113.1,116.391,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","P Households with Employed Persons","16_",11.9,11.6,11.8,13.2,13.2,8.2,9.2,9.6,8.2,11.158,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Austria","AT","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Q Extra¬Territorial Organizations and Bodies","17_",2.1,2.7,2.9,1.9,2.6,3.6,4,2.7,2.9,4.647,"Persons aged 15 years and over. Excluding conscripts on compulsory military service. 2004: Break. Prior to 2004: including conscripts. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",,65629.89,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A Agriculture, Hunting and Forestry","01_",,11771.01,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","B Fishing","02_",,348.378,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C Mining and Quarrying","03_",,234.869,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","D Manufacturing","04_",,8757.04,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","E Electricity, Gas and Water Supply","05_",,328.918,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",,4568.396,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",,10899,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","H Hotels and Restaurants","08_",,3071.814,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","I Transport, Storage and Communications","09_",,3318.814,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","J Financial Intermediation","10_",,823.708,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","K Real Estate, Renting and Business Activities","11_",,3763.802,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","L Public Administration and Defence; Compulsory Social Security","12_",,3522.868,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","M Education","13_",,3822.388,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","N Health and Social Work","14_",,2151.906,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","O Other Community,Social and Personal Service Activities","15_",,2392.052,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","P Households with Employed Persons","16_",,5016.269,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Q Extra¬Territorial Organizations and Bodies","17_",,2.839,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","X Not classifiable by economic activity","18_",,835.823,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",,40860.1,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A Agriculture, Hunting and Forestry","01_",,9176.49,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","B Fishing","02_",,319.4,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C Mining and Quarrying","03_",,218.003,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","D Manufacturing","04_",,6001.199,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","E Electricity, Gas and Water Supply","05_",,275.081,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",,4397.397,,,,,,,,,"August. ",
"Brazil","BR","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",,7256.9,,,,,,,,,"August. ",
