"INTERNATIONAL LABOUR ORGANIZATION Geneva"
"LABORSTA Labour Statistics Database"
"Copyright International Labour Organization 1998-2014"
""
"Selection:","Years: 1999-2008"
"","Country(ies): AD AE AF AG AI AL AM AN AO AR AS AT AU AW AZ BA BB BD BE BF BG BH BI BJ BM BN BO BR BS BT BW BY BZ C1 CA CD CF CG CH CI CK CL CM CN CO CR CS CU CV CY CZ D1 D2 D3 DE DJ DK DM DO DZ E1 EC EE EG EH ER ES ET FI FJ FK FO FR GA GB GD GE GF GG GH GI GL GM GN GP GQ GR GT GU GW GY HK HN HR HT HU ID IE IL IM IN IQ IR IS IT JE JG JM JO JP KE KG KH KI KM KN KP KR KS KW KY KZ LA LB LC LI LK LR LS LT LU LV LY M1 M2 M3 MA MC MD ME MG MH MK ML MM MN MO MP MQ MR MS MT MU MV MW MX MY MZ NA NC NE NF NG NI NL NO NP NR NU NZ OM PA PE PF PG PH PK PL PM PR PS PT PW PY QA RE RO RS RU RW SA SB SC SD SE SG SH SI SK SL SM SN SO SR ST SU SV SY SZ T1 T2 TC TD TG TH TJ TK TL TM TN TO TR TT TV TW TZ UA UG US UY UZ VC VE VG VI VN VU WF WS Y1 Y2 Y3 YE ZA ZM ZW"
"","Group of topics: Main statistics (annual) "
"","Table: 2B Total employment, by economic activity (Thousands)"
"","Extracted on 12/05/2014"


COUNTRY,CODE COUNTRY,SOURCE,CODE SOURCE,SOURCE_ID,SUBJECT,CODE SUBJECT,TYPE OF DATA,CODE TYPE OF DATA,WORKER COVERAGE,CODE WORKER COVERAGE,SEX,CODE SEX,TABLE,CODE TABLE,CLASSIFICATION,CODE CLASSIFICATION,SUB-CLASSIFICATION,CODE SUB-CLASSIFICATION,D1999,D2000,D2001,D2002,D2003,D2004,D2005,D2006,D2007,D2008,NOTES,
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","M Education","13_",48,47,51,49,49,48,47,48,,,"  ",
"Albania","AL","Official estimates","E",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","N Health and Social Work","14_",26,23,26,26,27,27,24,25,,,"  ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",,,6228.772,,6684.056,7798.4,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A Agriculture, Hunting and Forestry","01_",,,1241.51,,1404.608,1585.2,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","B Fishing","02_",,,70.56,,7.159,31,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C Mining and Quarrying","03_",,,119.467,,82.948,135.1,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","D Manufacturing","04_",,,631.812,,616.651,846.7,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","E Electricity, Gas and Water Supply","05_",,,109.84,,104.554,79.1,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",,,650.012,,799.914,967.6,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",,,788.873,,880.906,1174.4,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","H Hotels and Restaurants","08_",,,82.593,,102.497,164.8,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","I Transport, Storage and Communications","09_",,,339.898,,405.397,435.9,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","J Financial Intermediation","10_",,,68.099,,67.588,68.8,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","K Real Estate, Renting and Business Activities","11_",,,60.042,,68.024,72.4,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","L Public Administration and Defence; Compulsory Social Security","12_",,,1008.171,,1071.197,1104.1,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","M Education","13_",,,610.321,,627.715,634,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","N Health and Social Work","14_",,,217.134,,245.048,235.5,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","P Households with Employed Persons","16_",,,35.587,,12.151,34.9,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Q Extra¬Territorial Organizations and Bodies","17_",,,8.192,,2.884,3.9,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","X Not classifiable by economic activity","18_",,,,,1.4,16.2,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",,,5345.223,,5751.032,6439.2,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A Agriculture, Hunting and Forestry","01_",,,1132.378,,1303.081,1289.3,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","B Fishing","02_",,,69.389,,5.833,24.1,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C Mining and Quarrying","03_",,,110.996,,78.743,125.9,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","D Manufacturing","04_",,,406.815,,406.336,489,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","E Electricity, Gas and Water Supply","05_",,,99.063,,93.411,74.6,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",,,643.841,,790.442,956.6,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",,,761.59,,853.688,1129,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","H Hotels and Restaurants","08_",,,78.419,,97.63,154.6,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","I Transport, Storage and Communications","09_",,,322.468,,384.468,419.8,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","J Financial Intermediation","10_",,,54.96,,49.525,46.1,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","K Real Estate, Renting and Business Activities","11_",,,50.52,,53.597,56,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","L Public Administration and Defence; Compulsory Social Security","12_",,,926.297,,958.63,990.1,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","M Education","13_",,,403.408,,400.265,372.4,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","N Health and Social Work","14_",,,128.641,,143.178,135.2,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","O Other Community,Social and Personal Service Activities","15_",,,126.701,,124.032,141.8,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","P Households with Employed Persons","16_",,,23.416,,4.595,19.2,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Q Extra¬Territorial Organizations and Bodies","17_",,,6.321,,2.419,2.8,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","X Not classifiable by economic activity","18_",,,,,1.187,13,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",,,883.55,,933.023,1356.1,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A Agriculture, Hunting and Forestry","01_",,,109.131,,101.527,295.9,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","B Fishing","02_",,,1.17,,1.326,6.9,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C Mining and Quarrying","03_",,,8.471,,4.205,9.2,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","D Manufacturing","04_",,,224.996,,210.315,357.7,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","E Electricity, Gas and Water Supply","05_",,,10.777,,11.143,4.5,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",,,6.172,,9.473,11,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",,,27.283,,27.219,45.4,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","H Hotels and Restaurants","08_",,,4.174,,4.866,10.2,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","I Transport, Storage and Communications","09_",,,17.43,,20.929,16.2,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","J Financial Intermediation","10_",,,13.139,,18.063,22.8,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","K Real Estate, Renting and Business Activities","11_",,,9.522,,14.428,16.4,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","L Public Administration and Defence; Compulsory Social Security","12_",,,81.875,,112.594,114.2,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","M Education","13_",,,206.913,,227.45,261.6,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","N Health and Social Work","14_",,,88.494,,101.87,100.3,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","O Other Community,Social and Personal Service Activities","15_",,,59.961,,59.383,67.1,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","P Households with Employed Persons","16_",,,12.171,,7.557,15.7,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Q Extra¬Territorial Organizations and Bodies","17_",,,1.871,,0.465,1.1,,,,,"Persons aged 15 years and over. September. ",
"Algeria","DZ","Labour force survey","BA",,"Total employment","2E","Not used","2X","Total coverage","21","Women","2C","Total employment, by economic activity","2B","ISIC-Rev.3","I3","X Not classifiable by economic activity","18_",,,,,0.213,3.2,,,,,"Persons aged 15 years and over. September. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",,,5.644,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A Agriculture, Hunting and Forestry","01_",,,0.058,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","B Fishing","02_",,,0.105,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C Mining and Quarrying","03_",,,0.02,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","D Manufacturing","04_",,,0.135,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","E Electricity, Gas and Water Supply","05_",,,0.081,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","F Construction","06_",,,0.829,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","G Wholesale and Retail Trade; Repair of Motor Vehicles, Motorcycles and Personal and Household Goods","07_",,,0.558,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","H Hotels and Restaurants","08_",,,1.588,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","I Transport, Storage and Communications","09_",,,0.381,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","J Financial Intermediation","10_",,,0.2,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","K Real Estate, Renting and Business Activities","11_",,,0.233,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","L Public Administration and Defence; Compulsory Social Security","12_",,,0.662,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","M Education","13_",,,0.242,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","N Health and Social Work","14_",,,0.139,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","O Other Community,Social and Personal Service Activities","15_",,,0.164,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","P Households with Employed Persons","16_",,,0.164,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Total men and women","2A","Total employment, by economic activity","2B","ISIC-Rev.3","I3","X Not classifiable by economic activity","18_",,,0.086,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","Total","00_",,,3.015,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","A Agriculture, Hunting and Forestry","01_",,,0.044,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","B Fishing","02_",,,0.1,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","C Mining and Quarrying","03_",,,0.018,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","D Manufacturing","04_",,,0.085,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
"Anguilla","AI","Population census","A",,"Total employment","2E","Not used","2X","Total coverage","21","Men","2B","Total employment, by economic activity","2B","ISIC-Rev.3","I3","E Electricity, Gas and Water Supply","05_",,,0.063,,,,,,,,"Excluding armed forces. Persons aged 15 years and over. May. ",
